frame,x_center,y_center
1166,360,141
1167,360,141
1168,361,141
1169,360,141
1170,360,142
1171,364,141
1172,361,142
1173,361,142
1174,360,142
1175,359,142
1176,359,142
1177,359,142
1178,360,141
1179,359,142
1180,358,142
1181,359,142
1182,359,143
1183,359,143
1184,359,143
1185,359,143
1186,359,143
1187,359,143
1188,359,143
1189,358,143
1190,358,143
1191,358,143
1192,359,143
1193,360,142
1194,359,142
1195,360,142
1196,360,142
1197,361,142
1198,361,142
1199,359,142
1200,359,140
1201,360,140
1202,360,140
1203,360,141
1204,360,141
1205,359,141
1206,359,141
1207,360,141
1208,360,141
1209,360,141
1210,360,141
1211,360,141
1212,361,141
1213,360,141
1214,361,141
1215,360,141
1216,361,141
1217,360,141
1218,360,141
1219,360,141
1220,360,141
1221,359,141
1222,359,141
1223,360,141
1224,360,141
1225,359,141
1226,360,140
1227,359,140
1228,359,140
1229,360,140
1230,360,140
1231,360,140
1232,359,140
1233,358,142
1234,360,140
1235,360,140
1236,360,140
1237,360,141
1238,361,140
1239,361,140
1240,361,141
1241,361,141
1242,361,141
1243,361,141
1244,361,141
1245,360,141
1246,360,141
1247,361,141
1248,360,141
1249,361,140
1250,362,141
1251,359,142
1252,359,142
1253,359,142
1254,360,142
1255,359,142
1256,359,141
1257,362,140
1258,359,141
1259,359,141
1260,359,142
1261,359,142
1262,359,141
1263,359,141
1264,359,141
1265,359,141
1266,359,141
1267,359,141
1268,359,141
1269,359,141
1270,359,141
1271,360,141
1272,360,141
1273,361,142
1274,361,142
1275,361,142
1276,364,140
1277,364,140
1278,364,140
1279,363,140
1280,364,141
1281,363,140
1282,363,140
1283,362,141
1284,364,141
1285,364,141
1286,365,141
1287,364,141
1288,363,141
1289,362,141
1290,362,141
1291,361,141
1292,361,140
1293,362,140
1294,362,140
1295,360,140
1296,360,140
1297,360,140
1298,359,142
1299,359,142
1300,359,142
1301,359,142
1302,359,142
1303,359,142
1304,361,141
1305,359,142
1306,359,142
1307,359,142
1308,359,142
1309,359,142
1310,359,141
1311,358,141
1312,360,141
1313,361,141
1314,360,141
1315,361,141
1316,361,141
1317,359,142
1318,359,142
1319,358,142
1320,360,140
1321,360,140
1322,357,142
1323,360,140
1324,359,140
1325,359,140
1326,358,140
1327,359,140
1328,357,142
1329,356,142
1330,359,140
1331,359,140
1332,359,140
1333,359,140
1334,357,142
1335,359,140
1336,358,140
1337,357,142
1338,357,142
1339,357,142
1340,357,142
1341,359,140
1342,357,142
1343,357,142
1344,357,142
1345,357,142
1346,357,142
1347,358,142
1348,357,142
1349,357,142
